task_id,task_name,task_source,task_class_count,task_type,text_col,label_col,task_hf_dataset_name,task_hf_subset_name,task_hf_url,task_instruction,task_criticalness
42,perctrix/unfair_tos,hf,32,test,text,labels,perctrix/unfair_tos,,https://huggingface.co/datasets/perctrix/unfair_tos,"Classify the provided legal text excerpts into the following categories: 'fair', 'Limitation of liability', 'Contract by using', 'Content removal', 'Choice of law, Jurisdiction', 'Unilateral termination', 'Unilateral change', and 'Arbitration'.",Low Criticalness
43,ccdv/patent-classification@abstract,hf,9,test,text,label,ccdv/patent-classification,abstract,https://huggingface.co/datasets/ccdv/patent-classification,"Classify the provided technical description into one or more relevant categories from the following labels: Performing Operations; Transporting, Mechanical Engineering; Lightning; Heating; Weapons; Blasting, Electricity, Physics, General tagging of new or cross-sectional technology, Chemistry; Metallurgy, Human Necessities, Fixed Constructions, Textiles; Paper.",High Criticalness
44,jackhhao/jailbreak-classification,hf,2,test,prompt,type,jackhhao/jailbreak-classification,,https://huggingface.co/datasets/jackhhao/jailbreak-classification,Classify the given text prompts as either 'benign' if they do not encourage harmful behavior or 'jailbreak' if they instruct the AI to bypass ethical guidelines or act unethically.,Low Criticalness
45,raquiba/Sarcasm_News_Headline,hf,2,test,headline,is_sarcastic,raquiba/Sarcasm_News_Headline,,https://huggingface.co/datasets/raquiba/Sarcasm_News_Headline,Classify the given text as either 'is_sarcastic' or 'not_sarcastic' based on the presence of irony or absurdity in the statement.,Medium Criticalness
46,CreativeLang/ColBERT_Humor_Detection,hf,2,test,text,humor,CreativeLang/ColBERT_Humor_Detection,,https://huggingface.co/datasets/CreativeLang/ColBERT_Humor_Detection,"Classify the given text as 'True' if it contains humor or sarcasm, and 'False' if it is serious or factual.",Low Criticalness
47,SetFit/subj,hf,2,test,text,label_text,SetFit/subj,,https://huggingface.co/datasets/SetFit/subj,Classify each sentence as either 'objective' or 'subjective' based on whether it presents factual information or expresses personal opinions and feelings.,Low Criticalness
48,river-martin/web-of-science-with-label-texts,hf,7,test,abstract,domain,river-martin/web-of-science-with-label-texts,,https://huggingface.co/datasets/river-martin/web-of-science-with-label-texts,"Classify the provided text samples into one of the following categories: CS, Medical, Psychology, ECE, Biochemistry, MAE, or Civil based on the content and context of the text.",Low Criticalness
1001,1001,llm,5,train,,,1001,,,"Classify the given news articles into one of the following impact categories based on the article's content and context: 'Informative', 'Persuasive', 'Sensational', 'Divisive', 'Neutral'.",Low Criticalness
1002,1002,llm,5,train,,,1002,,,"Classify the provided customer feedback text into one of the following categories: 'product_quality', 'customer_service', 'shipping', 'payment_issues', or 'other' based on the primary aspect of the shopping experience that the feedback addresses.",Medium Criticalness
1003,1003,llm,3,train,,,1003,,,"Classify each biomedical research article as one of the following: 'High Impact', 'Moderate Impact', or 'Low Impact' based on the potential implications for public health and the significance of the findings presented in the article.",Medium Criticalness
1004,1004,llm,4,train,,,1004,,,"Classify the provided legal text into one of the following categories based on the type of legal argument presented: 'statutory interpretation', 'precedent application', 'policy argument', or 'constitutional argument'.",Low Criticalness
1005,1005,llm,5,train,,,1005,,,"Classify the given financial text based on the external economic factors it discusses into one of the following categories: 'Interest Rate Changes', 'Inflation Trends', 'Geopolitical Events', 'Regulatory Changes', or 'Market Sentiment'.",Low Criticalness
1006,1006,llm,6,train,,,1006,,,"Classify the given social media post into one of the following relationship categories based on the nature of interpersonal relationships expressed or referenced: 'Romantic', 'Familial', 'Friendship', 'Professional', 'Casual Acquaintance', or 'Community'.",Low Criticalness
1007,1007,llm,5,train,,,1007,,,"Classify the provided academic paper abstracts into one of the following methodological categories: 'Quantitative', 'Qualitative', 'Mixed Methods', 'Theoretical', or 'Review'.",Low Criticalness
1008,1008,llm,5,train,,,1008,,,"Classify the provided cybersecurity communication samples into one of the following categories based on the intent and nature of the threat described: 'Phishing Attempt', 'Malware Delivery', 'Denial of Service Threat', 'Data Breach Notification', 'Vulnerability Disclosure'.",Low Criticalness
1009,1009,llm,5,train,,,1009,,,"Classify the given technical support inquiries into one of the following categories: 'Hardware Issue', 'Software Issue', 'Network Issue', 'User Error', 'Feature Request'.",Medium Criticalness
1010,1010,llm,5,train,,,1010,,,"Classify the given news article into one of the following narrative technique categories: 'Inverted Pyramid', 'Chronological Narrative', 'Feature Story', 'Investigative Journalism', or 'Opinion Piece'.",Low Criticalness
1011,1011,llm,4,train,,,1011,,,"Given a product description, classify it into one of the following categories: 'Descriptive' for descriptions that detail the product's features and specifications, 'Emotional' for descriptions that appeal to the customer’s feelings or aspirations, 'Technical' for descriptions that focus on the technical specifications and performance metrics, and 'Persuasive' for descriptions that employ persuasive language aimed at inspiring action or purchase.",High Criticalness
1012,1012,llm,7,train,,,1012,,,"Classify the given biomedical research articles into one of the following categories based on their methodology: 'Clinical Trial', 'Observational Study', 'Meta-Analysis', 'Case Study', 'Systematic Review', 'Laboratory Experiment', or 'Longitudinal Study'.",Medium Criticalness
1013,1013,llm,5,train,,,1013,,,"Classify the given legal document text into one of the following categories based on the intent expressed within the legal action described: 'Contract', 'Litigation', 'Compliance', 'Advisory', or 'Negotiation'.",Medium Criticalness
1014,1014,llm,4,train,,,1014,,,"Classify the given financial text into one of the following strategy categories: 'growth', 'value', 'income', or 'defensive', based on the investment strategy or financial approach that the text reflects.",Medium Criticalness
1015,1015,llm,3,train,,,1015,,,"Classify the given social media posts into one of the following categories based on their authenticity: 'true' for posts that provide factual and verified information, 'fake' for posts that disseminate false information, and 'misleading' for posts that present factual elements but distort the context or interpretation of the information.",Medium Criticalness
1016,1016,llm,4,train,,,1016,,,Classify the provided academic text samples according to the type of argumentation used. The categories are: 'Empirical Evidence' for texts that rely on data and observations; 'Theoretical Framework' for texts that build arguments based on existing theories; 'Comparative Analysis' for texts that juxtapose different ideas or works; and 'Case Study' for texts focusing on an in-depth examination of a particular instance or example.,Low Criticalness
1017,1017,llm,4,train,,,1017,,,"Classify the provided cybersecurity incident reports into one of the following severity categories: 'Low', 'Medium', 'High', or 'Critical', where 'Low' refers to minor issues that pose little to no risk, 'Medium' indicates moderate threats that could potentially escalate, 'High' refers to significant threats with a strong potential for damage, and 'Critical' denotes severe incidents that require immediate attention.",High Criticalness
1018,1018,llm,4,train,,,1018,,,"Classify the provided technical support ticket text into one of the following severity categories: 'Critical', 'High', 'Medium', 'Low'. 'Critical' issues include system outages or major failures affecting multiple users. 'High' refers to significant functionality issues affecting user tasks. 'Medium' indicates minor bugs or performance issues. 'Low' includes general inquiries or non-urgent requests.",Medium Criticalness
1019,1019,llm,3,train,,,1019,,,"Classify the given news article excerpts into one of the following categories based on the author's stance: 'Supportive', 'Opposed', 'Neutral'.",Low Criticalness
1020,1020,llm,5,train,,,1020,,,"Classify the given product descriptions into one of the following customer segments: 'Budget Buyers', 'Luxury Seekers', 'Tech Enthusiasts', 'Eco-Conscious Consumers', or 'Fashion-Forward Shoppers'.",Low Criticalness
1021,1021,llm,4,train,,,1021,,,"Classify the provided biomedical texts on clinical research into one of the following ethical concern categories: 'Informed Consent', 'Data Privacy', 'Risk-Benefit Analysis', or 'Ethical Oversight'.",Medium Criticalness
1022,1022,llm,5,train,,,1022,,,"Classify the provided legal text into one of the following categories based on the type of obligation presented: 'Duty', 'Right', 'Liability', 'Obligation', 'Condition'.",High Criticalness
1023,1023,llm,5,train,,,1023,,,"Classify the provided financial documents into one of the following risk categories: 'Credit Risk', 'Market Risk', 'Operational Risk', 'Liquidity Risk', or 'Compliance Risk'. Each classification should be based on the specific risks mentioned or implied within the document.",Medium Criticalness
1024,1024,llm,2,train,,,1024,,,"Classify the given social media post into one of the following categories based on the narrative quality: 'Reflective' if it demonstrates personal insight or growth, and 'Descriptive' if it simply recounts an event without deeper reflection.",Low Criticalness
1025,1025,llm,2,train,,,1025,,,"Classify the given academic text as either 'Citation' if it references another work directly or indirectly, or 'Paraphrase' if it reformulates the ideas without directly referencing the original source.",Low Criticalness
1026,1026,llm,5,train,,,1026,,,"Classify the given text into one of the following categories based on the manipulation tactics identified: 'Pretexting' for texts that create a fabricated scenario, 'Phishing' for texts attempting to deceive the recipient into providing sensitive information, 'Baiting' for texts that lure the recipient with false promises, 'Quizzing' for texts that ask questions to extract information under the guise of innocence, and 'Tailgating' for texts that imply a sense of authority to bypass security measures.",Medium Criticalness
1027,1027,llm,3,train,,,1027,,,"Classify each technical support script into one of the following complexity categories based on the language used and the technical knowledge required: 'Beginner', 'Intermediate', 'Advanced'.",Medium Criticalness
1028,1028,llm,3,train,,,1028,,,"Classify the provided news articles based on their adherence to ethical journalism standards into one of the following categories: 'Meets Ethical Standards', 'Violates Ethical Standards', or 'Uncertain'.",Medium Criticalness
1029,1029,llm,4,train,,,1029,,,"Classify each customer review into one of the following intent categories: 'Positive Feedback', 'Negative Feedback', 'Request for Support', or 'Product Inquiry'.",Low Criticalness
1030,1030,llm,5,train,,,1030,,,"Classify the provided biomedical text into one of the following categories based on the disease progression described: 'Early Stage', 'Mid Stage', 'Late Stage', 'Remission', or 'No Progression'.",Medium Criticalness
1031,1031,llm,10,train,,,1031,,,"Classify the provided legal text into one of the following legal doctrines: Tort Law, Contract Law, Property Law, Constitutional Law, Criminal Law, Administrative Law, Family Law, Environmental Law, Intellectual Property Law, or International Law.",Medium Criticalness
1032,1032,llm,5,train,,,1032,,,"Classify the provided financial report texts into one of the following categories based on the specific methodologies they describe: 'GAAP' (Generally Accepted Accounting Principles), 'IFRS' (International Financial Reporting Standards), 'Hybrid' (a combination of different accounting standards), 'Non-standard' (not adhering to recognized standards), or 'other' (not pertinent to financial reporting).",High Criticalness
1033,1033,llm,6,train,,,1033,,,"Classify the user intent behind the given social media text into one of the following categories: 'inform', 'persuade', 'entertain', 'question', 'complain', or 'support'.",Medium Criticalness
1034,1034,llm,5,train,,,1034,,,"Classify the given academic text excerpts based on common writing quality issues into one of the following categories: 'coherence', 'clarity', 'conciseness', 'engagement', or 'grammar' depending on the primary issue observed in the text.",High Criticalness
1035,1035,llm,6,train,,,1035,,,"Classify the following security incident reports into one of the following categories: 'Malware', 'Unauthorized Access', 'Data Breach', 'Denial of Service', 'Insider Threat', or 'Phishing Attempt'.",Medium Criticalness
1036,1036,llm,2,train,,,1036,,,"Classify the given text as either 'urgent assistance needed' if the user is requesting immediate help with a technical issue, or 'feedback/suggestion' if the user is providing feedback about a product or suggesting improvements without an urgent need for resolution.",Low Criticalness
1037,1037,llm,3,train,,,1037,,,"Classify the given news article text as either 'High Credibility', 'Medium Credibility', or 'Low Credibility' based on the perceived reliability of the source and potential biases present in the article.",Low Criticalness
1038,1038,llm,3,train,,,1038,,,"Classify the given product description into one of the following categories based on their compliance with e-commerce best practices: 'fully compliant', 'partially compliant', or 'non-compliant'.",Low Criticalness
1039,1039,llm,3,train,,,1039,,,"Given a biomedical text, classify it based on the type of medical finding reported into one of the following categories: 'Definitive', 'Inconclusive', 'Hypothetical'.",Low Criticalness
1040,1040,llm,6,train,,,1040,,,"Classify the provided legal verdict summaries into one of the following categories based on the legal principles applied in the case: 'Negligence', 'Strict Liability', 'Intentional Torts', 'Breach of Contract', 'Defamation', and 'Equitable Relief'.",Medium Criticalness
1041,1041,llm,3,train,,,1041,,,"Classify the given financial advice texts into one of the following categories: 'sound advice', 'questionable advice', or 'risky advice', based on the quality and level of risk associated with the recommendations provided in the text.",High Criticalness
1042,1042,llm,4,train,,,1042,,,"Classify the given social media posts into one of the following categories based on their potential influence on public health behavior: 'Promotes Healthy Behavior', 'Discourages Healthy Behavior', 'Neutral', or 'Misinformation'.",Medium Criticalness
1043,1043,llm,6,train,,,1043,,,"Classify the provided academic text into one of the following categories based on its content and format: 'Research Paper', 'Review Article', 'Conference Proceedings', 'Thesis/Dissertation', 'Book Chapter', 'Technical Report'.",High Criticalness
1044,1044,llm,6,train,,,1044,,,"Classify the provided text samples into one of the following categories based on the description of the malware threat: 'Virus', 'Worm', 'Trojan', 'Ransomware', 'Spyware', or 'Adware'.",Medium Criticalness
1045,1045,llm,6,train,,,1045,,,"Classify the provided technical support inquiry text based on the predominant troubleshooting method employed, using the following labels.",Medium Criticalness
1046,1046,llm,4,train,,,1046,,,"Classify the given news article text into one of the following labels based on factual accuracy: 'True', 'False', 'Misleading', or 'Unverified'.",High Criticalness
1047,1047,llm,4,train,,,1047,,,"Classify the given product descriptions based on their adherence to ethical marketing standards into one of the following categories: 'truthful (claims are accurate and substantiated)', 'exaggerated (claims are overstated but not outright false)', 'misleading (claims are deceptive or likely to mislead customers)', 'not applicable (does not pertain to ethical claims)'.",High Criticalness
1048,1048,llm,6,train,,,1048,,,"Classify the given biomedical text into one of the following molecular interaction categories: 'protein-protein interaction', 'protein-DNA interaction', 'protein-RNA interaction', 'enzyme-substrate interaction', 'receptor-ligand interaction', or 'none of the above'.",Low Criticalness
1049,1049,llm,8,train,,,1049,,,"Classify the provided legal correspondence into one of the following intents: Inquiry, Request for Information, Negotiation, Complaint, Notice, Demand, Settlement Offer, or Clarification.",High Criticalness
1050,1050,llm,4,train,,,1050,,,"Classify the given text excerpts about investment intentions into one of the following categories: 'Buy', 'Hold', 'Sell', or 'No Action' based on the implied intention of the author regarding their investment decisions.",High Criticalness
1051,1051,llm,4,train,,,1051,,,"Classify the given social media text into one of the following engagement potential categories: 'High Engagement Potential', 'Medium Engagement Potential', 'Low Engagement Potential', or 'No Engagement Potential'. Consider factors such as content appeal, sharing likelihood, and user interaction likelihood when making your classification.",High Criticalness
1052,1052,llm,5,train,,,1052,,,"Classify each research hypothesis into one of the following methodological approaches: Quantitative, Qualitative, Mixed Methods, Theoretical, or Experimental.",Medium Criticalness
1053,1053,llm,6,train,,,1053,,,"Classify the provided cybersecurity threat intelligence report into one of the following categories: 'Financial Gain', 'Political Motivation', 'Ideological Beliefs', 'Personal Vendetta', 'State-sponsored', or 'Other'.",Medium Criticalness
